restaurant,item,calories,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein
KFC,10 Pc Fried Leg,2880,82.6,33,0.2,112,1.1,85.1,45,0,178.6
KFC,"Super Sixes (4 HC, 6 HW,
8 Strips)",2816.5,41.5,17,0.08,57,0.8,39.5,23,0,172.1
KFC,"Triple Treat (4 HC + 4
Smoky + 6 Boneless
Strips)",2475.4,43.1,16.6,0.07,59,0.9,41.7,24,0,203
Mcdonalds,20 piece Buttermilk Crispy Chicken Tenders,2430,141,24,2,475,6080,103,2,3,186
KFC,"10 for 550
(10 pc HC)
on Wednesdays",2382.2,49.8,19.7,0.11,70,0.7,38.8,28,0,143.3
KFC,"Friendship Bucket DL(3pc HC+3pc HW+3pc Strips + Large
Popcorn)",2131.4,42.2,17.5,0.07,58,0.9,41.1,23,0,124.8
KFC,8 pc Bucket,2117.5,44.2,17.5,0.1,62,0.6,34.5,25,0,127.4
Mcdonalds,40 piece Chicken McNuggets,1770,107,18,0.5,295,3370,105,7,1,98
KFC,Big Eight ( 4pc smoky+ 4pc HC),1758.2,30.6,11.2,0.07,43,0.6,27.9,17,0,149
Mcdonalds,10 piece Sweet N' Spicy Honey BBQ Glazed Tenders,1600,66,10,0,265,4450,156,5,87,97
KFC,6 Pc,1588.2,49.8,19.7,0.11,70,0.7,38.8,28,0,95.6
KFC,"Mixed Zinger Doubles( 1 ch Zinger+1 Tandoori
Zinger)",1562.9,29.5,8.7,0.03,31,0.4,62.8,12,5.75,54
Burger King,American Brewhouse King,1550,126,47,8,805,1820,21,3,7,134
Mcdonalds,12 piece Buttermilk Crispy Chicken Tenders,1510,88,15,1,295,3770,64,1,2,115
KFC,5 Pc Fried Leg,1440,41.3,16.5,0.08,56,0.5,42.6,22,0,89.3
KFC,"Dips Bucket (12 Pc + 4
Dips)",1434.5,24.9,10.9,0.03,33,0.6,27.6,13,10.53,108.1
KFC,"12 for 350
(12 BS + 4
dips) on Wednesdays",1434.5,24.9,10.9,0,33,0.6,27.6,13,0,108.1
KFC,8 pc Bucket,1398.8,17,4.9,0.05,24,0.6,21.4,10,0,170.5
Sonic,Garlic Parmesan Dunked Ultimate Chicken Sandwich,1350,100,17,0,190,2180,69,4,10,23
KFC,"Chick & Share Bucket: 5 pc
Hot & Crispy",1323.5,41.5,16.4,0.09,58,0.5,32.3,23,0,79.6
Pizza Hut,Chicken Supreme (Personal),1309.75,15.28,6.06,0.16,27.36,1309.75,41.48,4.09,0,20.55
Sonic,Super Sonic Bacon Double Cheeseburger (w/mayo),1280,92,36,4,260,1630,44,2,7,67
KFC,Mingles Bucket,1269.4,35.9,15.2,0.05,48,0.9,46.8,19,0,62.3
Dairy Queen,6 Piece Chicken Strip Basket w/ Country Gravy,1260,66,11,1,120,3500,121,12,4,49
Burger King,Rodeo King,1250,82,31,3.5,230,2270,69,3,14,60
Burger King,Farmhouse King,1220,80,28,3,335,2050,62,,15,
Sonic,Super Sonic Double Cheeseburger W/ Mayo,1220,87,34,4,245,1520,45,2,8,63
Mcdonalds,10 piece Buttermilk Crispy Chicken Tenders,1210,70,12,1,240,3230,52,1,4,94
KFC,Chick & Share Bucket: 10 pc Strips,1195.4,31.1,13.6,0.05,41,0.8,34.5,16,0,90.1
Sonic,5 Piece Super Crunch Chicken Strip Dinner,1190,57,10,1,90,2610,126,8,9,44
Subway,Footlong Big Hot Pastrami,1160,62,22,0,170,2940,94,10,14,58
