,restaurant,item,calories,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein,vit_a,vit_c,calcium,salad,cheat_score
0,KFC,10 Pc Fried Leg,2880.0,82.6,33.0,0.2,112.0,1.1,85.1,45.0,0.0,178.6,,,,,5.19
1,KFC,"Super Sixes (4 HC, 6 HW,
8 Strips)",2816.5,41.5,17.0,0.08,57.0,0.8,39.5,23.0,0.0,172.1,,,,,4.56
2,KFC,"Triple Treat (4 HC + 4
Smoky + 6 Boneless
Strips)",2475.4,43.1,16.6,0.07,59.0,0.9,41.7,24.0,0.0,203.0,,,,,3.98
3,Mcdonalds,20 piece Buttermilk Crispy Chicken Tenders,2430.0,141.0,24.0,2.0,475.0,6080.0,103.0,2.0,3.0,186.0,0.0,2.0,8.0,Other,7.47
4,KFC,"10 for 550
(10 pc HC)
on Wednesdays",2382.2,49.8,19.7,0.11,70.0,0.7,38.8,28.0,0.0,143.3,,,,,3.92
5,KFC,"Friendship Bucket DL(3pc HC+3pc HW+3pc Strips + Large
Popcorn)",2131.4,42.2,17.5,0.07,58.0,0.9,41.1,23.0,0.0,124.8,,,,,3.38
6,KFC,8 pc Bucket,2117.5,44.2,17.5,0.1,62.0,0.6,34.5,25.0,0.0,127.4,,,,,3.39
7,Mcdonalds,40 piece Chicken McNuggets,1770.0,107.0,18.0,0.5,295.0,3370.0,105.0,7.0,1.0,98.0,0.0,15.0,6.0,Other,5.69
8,KFC,Big Eight ( 4pc smoky+ 4pc HC),1758.2,30.6,11.2,0.07,43.0,0.6,27.9,17.0,0.0,149.0,,,,,2.54
9,Mcdonalds,10 piece Sweet N' Spicy Honey BBQ Glazed Tenders,1600.0,66.0,10.0,0.0,265.0,4450.0,156.0,5.0,87.0,97.0,8.0,40.0,10.0,Other,8.57
10,KFC,6 Pc,1588.2,49.8,19.7,0.11,70.0,0.7,38.8,28.0,0.0,95.6,,,,,2.71
11,KFC,"Mixed Zinger Doubles( 1 ch Zinger+1 Tandoori
Zinger)",1562.9,29.5,8.7,0.03,31.0,0.4,62.8,12.0,5.75,54.0,,,,,2.44
13,Mcdonalds,12 piece Buttermilk Crispy Chicken Tenders,1510.0,88.0,15.0,1.0,295.0,3770.0,64.0,1.0,2.0,115.0,0.0,2.0,6.0,Other,5.31
14,KFC,5 Pc Fried Leg,1440.0,41.3,16.5,0.08,56.0,0.5,42.6,22.0,0.0,89.3,,,,,2.31
15,KFC,"Dips Bucket (12 Pc + 4
Dips)",1434.5,24.9,10.9,0.03,33.0,0.6,27.6,13.0,10.53,108.1,,,,,2.32
16,KFC,"12 for 350
(12 BS + 4
dips) on Wednesdays",1434.5,24.9,10.9,0.0,33.0,0.6,27.6,13.0,0.0,108.1,,,,,1.89
17,KFC,8 pc Bucket,1398.8,17.0,4.9,0.05,24.0,0.6,21.4,10.0,0.0,170.5,,,,,1.64
19,KFC,"Chick & Share Bucket: 5 pc
Hot & Crispy",1323.5,41.5,16.4,0.09,58.0,0.5,32.3,23.0,0.0,79.6,,,,,2.18
22,KFC,Mingles Bucket,1269.4,35.9,15.2,0.05,48.0,0.9,46.8,19.0,0.0,62.3,,,,,1.96
27,Mcdonalds,10 piece Buttermilk Crispy Chicken Tenders,1210.0,70.0,12.0,1.0,240.0,3230.0,52.0,1.0,4.0,94.0,0.0,0.0,4.0,Other,4.53
28,KFC,Chick & Share Bucket: 10 pc Strips,1195.4,31.1,13.6,0.05,41.0,0.8,34.5,16.0,0.0,90.1,,,,,1.73
31,KFC,"Chick & Share Bucket: Xtra
Large Popcorn",1156.0,33.1,14.5,0.05,44.0,1.2,38.2,18.0,0.0,63.6,,,,,1.74
34,Mcdonalds,Double Bacon Smokehouse Burger,1130.0,67.0,27.0,3.0,220.0,1920.0,63.0,3.0,18.0,70.0,10.0,20.0,50.0,Other,4.39
42,KFC,4 pc,1058.8,33.2,13.1,0.07,47.0,0.4,25.8,19.0,0.0,63.7,,,,,1.65
44,KFC,6 Pc,1049.1,19.2,5.5,0.06,27.0,0.7,24.1,11.0,0.0,127.9,,,,,1.16
48,KFC,"Friendship Bucket DI/TA(3pc HC+3pc HW+3pc Strips +Med
Popcorn)",1022.6,21.9,4.5,0.07,15.0,0.5,24.4,6.0,1.16,34.9,,,,,1.26
53,KFC,Tandoori Zinger Burger,999.9,32.3,9.2,0.02,33.0,0.4,68.5,13.0,0.0,27.4,,,,,1.56
61,Mcdonalds,6 piece Sweet N' Spicy Honey BBQ Glazed Tenders,960.0,40.0,6.0,0.0,160.0,2670.0,94.0,3.0,52.0,58.0,4.0,25.0,8.0,Other,5.11
69,Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,920.0,45.0,12.0,0.5,120.0,1980.0,81.0,4.0,18.0,46.0,6.0,20.0,20.0,Other,3.62
73,Mcdonalds,20 Piece Chicken McNuggets,890.0,53.0,9.0,0.0,145.0,1680.0,53.0,4.0,0.0,49.0,0.0,8.0,4.0,Other,3.09
74,Taco Bell,XXL Grilled Stuft Burrito - Beef,880.0,42.0,14.0,1.0,75.0,2020.0,94.0,12.0,6.0,31.0,,,,Other,3.04
75,KFC,5 PC,874.3,16.0,4.6,0.05,22.0,0.6,20.1,9.0,0.0,106.6,,,,,0.81
80,Mcdonalds,Single Bacon Smokehouse Burger,840.0,45.0,17.0,1.5,130.0,1580.0,62.0,2.0,18.0,46.0,6.0,20.0,20.0,Other,3.45
